P (kW);Date;Time Frame;(Ta)¡C;Tm (¡C);I3 (W/m2);I15 (W/m2);;
0;9/3/13 9:54 PM;21;22,48983333;20,11933333;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;9/4/13 4:54 AM;4;22,3495;20,503;0;0;;
5,873566667;9/4/13 5:54 AM;5;21,9945;20,014;13,97983333;18,24016667;;
96,5141;9/4/13 6:54 AM;6;23,33383333;23,23333333;145,2428333;174,1098333;;
275,9347833;9/4/13 7:54 AM;7;25,538;29,65516667;345,9908333;408,8005;;
435,99985;9/4/13 8:54 AM;8;27,536;34,82833333;540,2291667;625,8351667;;
569,8704333;9/4/13 9:54 AM;9;28,9175;38,57783333;699,2375;795,7738333;;
646,3918167;9/4/13 10:54 AM;10;29,78016667;41,26533333;817,3443333;908,2313333;;
679,6484667;9/4/13 11:54 AM;11;29,99383333;42,73016667;871,2005;949,5156667;;
663,5316333;9/4/13 12:54 PM;12;30,64816667;43,45466667;874,1386667;928,8821667;;
613,9977667;9/4/13 1:54 PM;13;30,36716667;41,21566667;809,8045;842,7006667;;
514,73145;9/4/13 2:54 PM;14;29,71983333;38,23266667;683,065;693,1435;;
357,3055333;9/4/13 3:54 PM;15;29,27783333;33,92583333;498,2551667;480,2486667;;
172,4615833;9/4/13 4:54 PM;16;28,26133333;29,3715;269,6943333;235,9535;;
31,07965;9/4/13 5:54 PM;17;26,26066667;25,0165;65,46133333;62,99366667;;
1,213066667;9/4/13 6:54 PM;18;24,11433333;21,61066667;0,968;2,065666667;;
0;9/4/13 7:54 PM;19;22,82933333;19,79266667;0;0,031;;
0;9/4/13 8:54 PM;20;21,81966667;18,69783333;0;0,019333333;;
0;9/4/13 9:54 PM;21;21,27566667;16,796;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;9/5/13 4:54 AM;4;14,96133333;10,05616667;0;0;;
5,883633333;9/5/13 5:54 AM;5;14,55483333;9,635333333;15,59466667;21,13916667;;
108,9304833;9/5/13 6:54 AM;6;17,7585;15,37533333;150,0368333;180,8915;;
291,7201667;9/5/13 7:54 AM;7;22,072;25,09016667;353,7743333;420,2551667;;
433,3709167;9/5/13 8:54 AM;8;25,80233333;36,884;569,8601667;639,93;;
380,3359833;9/5/13 9:54 AM;9;27,85766667;43,212;498,2806667;670,3911667;;
